property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
flat,sector 67a,3,New Property,Class A,Middle Floor,North,3,3,1553.0,1,1,0,1.8
flat,sector 62,3,Relatively New,Class B,Middle Floor,South-East,4,6,3937.0,1,0,0,9.95
flat,sector 79,3,New Property,Class B,Low Floor,South-East,2,2,1747.0,0,0,1,1.41
flat,sector 70,3+,New Property,Class C,High Floor,North-East,3,4,1927.0,1,0,1,1.65
flat,sector 113,3+,Relatively New,Class A,Low Floor,North-East,3,3,1890.0,0,0,1,2.45
flat,sector 91,3+,Moderately Old,Class C,Middle Floor,West,4,4,2143.0,1,0,1,1.65
flat,sector 89,2,New Property,Class D,Low Floor,East,3,3,1423.0,0,0,1,1.2
ind-house,sector 7,3,Moderately Old,Class D,Low Floor,South-East,3,5,600.0,0,0,1,0.75
flat,sector 99a,3,New Property,Class D,Low Floor,North-East,3,5,1811.0,1,0,1,1.56
flat,sector 22,3+,Relatively New,Class B,Middle Floor,South-West,3,4,2600.0,1,0,2,4.3
flat,sector 103,3,Relatively New,Class C,Low Floor,East,2,3,1613.0,1,0,0,0.93
flat,sector 3,2,Under Construction,Class C,Middle Floor,West,2,2,958.0,0,0,1,1.1
ind-house,sector 25,2,Old Property,Class C,Low Floor,East,4,4,3618.0,1,0,0,10.5
ind-house,sector 7,1,Moderately Old,Class D,Low Floor,North-East,2,2,225.0,0,0,1,0.27
flat,sector 70a,3,New Property,Class C,High Floor,North-West,2,2,1144.0,0,0,1,1.65
flat,sector 84,3,Relatively New,Class A,Middle Floor,North-East,3,3,1650.0,0,0,0,1.24
ind-house,sector 21,2,Relatively New,Class D,Low Floor,East,5,5,120.0,0,0,1,1.6
flat,sector 89,0,New Property,Class D,Low Floor,South-West,3,1,1103.0,0,0,1,1.1
flat,sector 70a,3+,Relatively New,Class B,High Floor,North-West,2,2,1449.0,0,0,0,1.27
ind-house,c block sushant lok phase 1,3+,Moderately Old,Class C,Low Floor,East,3,9,1935.0,1,0,0,5.3
ind-house,sector 48,3,Moderately Old,Class B,Low Floor,North,5,6,8775.0,1,1,0,19.5
flat,sector 49,3,Old Property,Class D,Low Floor,South,3,3,1600.0,0,0,0,1.9
flat,sector 109,3+,Relatively New,Class C,Middle Floor,East,3,3,1587.0,0,0,1,1.4
flat,sector 86,3+,Relatively New,Class A,Middle Floor,North-East,3,3,1500.0,0,0,2,1.55
flat,sohna road,2,Relatively New,Class C,Middle Floor,East,2,2,534.0,0,0,1,0.29
flat,sector 83,2,Moderately Old,Class A,Middle Floor,East,2,2,1129.0,0,0,0,0.84
ind-house,sector 4,3,Moderately Old,Class D,Low Floor,East,2,4,640.0,0,0,1,0.75
ind-house,sector 7,0,Old Property,Class D,Low Floor,North-East,2,2,900.0,0,0,1,0.53
flat,sohna road,3,Relatively New,Class D,Middle Floor,North-West,2,2,979.0,0,0,1,0.66
flat,sector 95,1,Relatively New,Class C,Middle Floor,West,1,1,407.0,0,0,1,0.2
flat,sector 48,3+,New Property,Class C,Low Floor,East,4,5,3444.0,1,0,1,4.3
flat,sector 56,1,Old Property,Class C,Low Floor,North-East,1,1,672.0,0,0,0,0.47
