property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
flat,sector 4,1,Relatively New,Class D,Low Floor,North-East,2,2,950.0,0,0,1,0.39
flat,sector 103,0,Relatively New,Class D,Middle Floor,North,2,2,750.0,0,0,1,0.5
flat,sector 37d,3,Relatively New,Class A,Middle Floor,South-East,2,2,1310.0,0,0,1,0.8
flat,sector 37c,3,Relatively New,Class D,Low Floor,South-East,3,3,1564.0,0,0,1,1.25
ind-house,sector 70a,3+,Relatively New,Class A,Low Floor,North,4,4,6000.0,1,1,0,5.35
flat,sector 81,2,Moderately Old,Class C,Middle Floor,North-East,2,2,986.0,0,0,1,0.65
flat,sector 102,3+,Relatively New,Class D,High Floor,East,3,4,1186.0,1,0,0,2.2
ind-house,sector 70a,3+,Moderately Old,Class C,Low Floor,North,4,4,2610.0,1,1,1,4.6
flat,sector 99a,3,Relatively New,Class D,Middle Floor,East,3,5,1790.0,1,0,1,1.13
flat,sector 49,3+,Old Property,Class C,Low Floor,North-East,4,3,2497.0,0,0,1,2.0
flat,sector 52,0,Moderately Old,Class D,Low Floor,North-East,1,1,278.0,0,0,0,0.29
flat,sector 109,3+,Relatively New,Class B,Middle Floor,West,3,2,1479.0,0,0,1,1.35
flat,sector 107,3+,Relatively New,Class C,Middle Floor,South,4,5,2510.0,1,0,1,1.7
ind-house,sector 14,0,Old Property,Class D,Low Floor,East,1,1,2250.0,0,0,1,4.6
flat,sector 67,3+,Relatively New,Class A,Low Floor,North-East,3,3,2047.0,0,1,0,3.0
flat,sector 84,2,Relatively New,Class C,Middle Floor,North,3,3,1587.0,0,0,1,1.1
flat,sector 83,2,Moderately Old,Class B,High Floor,West,2,2,1100.0,0,0,0,0.85
flat,sector 77,2,Relatively New,Class B,Middle Floor,South,2,2,1140.0,0,1,0,0.75
ind-house,sector 104,3+,Moderately Old,Class C,Low Floor,North-East,3,5,920.0,0,0,1,1.95
flat,sector 2,3,Moderately Old,Class D,Middle Floor,North,3,2,1440.0,0,0,1,0.8
flat,sohna road,1,Relatively New,Class C,Middle Floor,South-East,2,2,535.0,0,0,1,0.26
flat,sector 56,3+,Relatively New,Class B,Middle Floor,South,4,4,2500.0,0,0,0,2.05
flat,sector 65,3,Under Construction,Class D,High Floor,North,3,3,1657.0,0,0,1,2.5
flat,sector 54,3+,Moderately Old,Class A,Middle Floor,North,3,4,1607.0,1,0,2,4.85
flat,sector 77,3+,Relatively New,Class A,Middle Floor,South,3,4,1836.0,1,0,0,1.09
ind-house,sector 5,2,Old Property,Class D,Low Floor,North,5,4,2367.0,0,0,1,3.5
ind-house,sector 57,2,Old Property,Class D,Low Floor,North,3,3,2160.0,1,0,1,4.7
flat,gwal pahari,2,Under Construction,Class B,Low Floor,East,2,2,1130.0,0,0,1,1.38
flat,sector 81,1,Under Construction,Class D,Low Floor,North,2,2,816.0,0,0,1,0.6
ind-house,sector 82,3+,Relatively New,Class B,Low Floor,North-East,4,4,3900.0,1,0,2,7.0
flat,sector 108,2,Relatively New,Class A,Middle Floor,East,2,2,1238.0,0,0,0,0.65
ind-house,sector 46,3,Moderately Old,Class D,Low Floor,East,4,4,900.0,0,1,0,2.4
flat,sector 70a,3+,New Property,Class B,Middle Floor,North-East,3,3,1900.0,1,0,1,1.68
flat,sector 37c,0,New Property,Class C,Low Floor,South-West,3,3,1820.0,0,0,1,1.35
flat,sector 61,2,New Property,Class C,Low Floor,East,3,3,1721.0,0,0,1,2.0
flat,sector 92,3,Moderately Old,Class D,Low Floor,North-East,2,2,907.0,0,0,1,0.5
flat,sector 81,3+,Relatively New,Class D,Low Floor,South-West,3,2,1354.0,0,0,1,1.45
flat,sector 81,3+,New Property,Class A,Middle Floor,East,4,4,2604.0,1,0,2,3.45
flat,sohna road,2,New Property,Class B,Middle Floor,North-East,2,2,605.0,0,0,1,0.3
ind-house,sector 12,0,Old Property,Class D,Low Floor,North-East,2,1,360.0,0,0,1,0.35
flat,sector 106,3+,Relatively New,Class A,Middle Floor,North-West,3,4,1186.0,1,0,0,1.1
ind-house,sector 33,3+,Relatively New,Class C,Low Floor,East,5,7,5056.0,1,0,1,11.75
ind-house,sector 13,2,Moderately Old,Class D,Low Floor,East,10,10,400.0,0,0,1,2.25
flat,sector 79,2,New Property,Class D,Middle Floor,North-East,2,2,1688.0,0,0,1,0.8
flat,sector 56,3+,Old Property,Class A,Middle Floor,South,3,3,1900.0,1,0,1,1.45
flat,sector 99a,3,New Property,Class C,Middle Floor,North-East,2,2,1369.0,0,0,1,1.1
flat,sector 84,3+,New Property,Class C,Middle Floor,East,3,3,1564.0,0,0,1,0.84
flat,sector 79,3,Relatively New,Class D,Low Floor,North,3,3,2161.0,0,0,1,1.45
flat,sector 37d,3+,Relatively New,Class C,Middle Floor,South,3,3,1642.0,0,0,1,1.55
flat,sector 54,3,Moderately Old,Class D,Low Floor,East,3,3,1382.0,0,0,1,5.7
flat,sohna road,3,New Property,Class D,Middle Floor,North,2,2,661.0,0,0,1,0.4
flat,sector 102,3+,Relatively New,Class A,Low Floor,North-East,3,3,2500.0,1,0,1,1.9
flat,sector 3,2,Under Construction,Class D,Middle Floor,North-East,2,2,1604.0,0,0,1,1.3
flat,sector 104,3+,Relatively New,Class B,High Floor,North,4,5,7222.0,0,0,1,4.45
flat,sector 36a,2,Relatively New,Class D,Middle Floor,North-East,2,2,857.0,0,0,1,0.75
flat,sector 102,3,Relatively New,Class C,Middle Floor,South,3,4,2338.0,1,0,0,1.95
flat,sector 85,3,Relatively New,Class D,Middle Floor,South-East,4,4,2600.0,1,0,1,2.09
flat,sector 103,3,New Property,Class C,Low Floor,West,2,2,1234.0,0,0,1,0.88
ind-house,sector 17a,1,Old Property,Class D,Low Floor,South-East,2,2,105.0,0,0,1,1.52
flat,sector 81,3+,Moderately Old,Class C,Middle Floor,North-East,3,3,1439.0,0,1,0,1.35
flat,sector-33 sohna,3+,New Property,Class C,High Floor,South-West,3,2,114.0,0,0,1,1.4
flat,sector 107,3+,Moderately Old,Class B,Low Floor,East,2,2,1238.0,0,0,1,0.94
ind-house,sector 22,3+,Old Property,Class D,Low Floor,South-West,7,5,2367.0,0,0,0,4.75
flat,sector 43,3+,Moderately Old,Class D,Low Floor,East,4,4,2722.0,1,0,1,2.5
flat,sector 4,1,Relatively New,Class D,Low Floor,West,2,2,833.0,0,0,0,0.42
flat,sector 112,2,Relatively New,Class C,High Floor,South,3,5,3000.0,1,0,1,4.25
flat,sector-33 sohna,0,Under Construction,Class C,Low Floor,North-East,3,3,1996.0,0,0,1,1.75
flat,sector 36a,1,Relatively New,Class D,Middle Floor,West,1,1,453.0,0,0,1,0.45
flat,sector 106,3+,Relatively New,Class D,High Floor,North-West,3,4,1186.0,1,0,1,1.13
flat,sector 65,3,Moderately Old,Class A,High Floor,North-East,3,3,3030.0,1,0,0,6.1
flat,sector 92,2,Relatively New,Class C,Low Floor,North,2,2,1109.0,0,0,1,0.49
flat,sector 81,3+,Relatively New,Class C,High Floor,South,4,4,3515.0,1,0,0,4.2
flat,sector 37d,3,Under Construction,Class D,Low Floor,North-East,3,3,1535.0,0,0,1,1.36
flat,sohna road,2,Relatively New,Class D,Low Floor,South-West,2,2,900.0,0,0,1,0.4
ind-house,sector 49,3,Moderately Old,Class B,Low Floor,North,6,6,2880.0,1,1,2,4.4
flat,sector 66,3,Relatively New,Class C,Middle Floor,East,3,4,2200.0,1,1,0,3.4
ind-house,sector 4,1,Old Property,Class D,Low Floor,South-East,3,3,57.0,0,0,1,0.6
ind-house,sector 2,2,Old Property,Class B,Low Floor,North,5,5,4680.0,1,1,2,9.0
flat,sector 85,2,Relatively New,Class D,High Floor,North,2,2,1934.0,0,0,0,1.25
flat,sector 83,0,Relatively New,Class C,Middle Floor,East,3,4,1900.0,0,0,1,1.8
flat,sector 85,3,Relatively New,Class D,Middle Floor,North-East,2,2,1475.0,0,0,1,1.09
flat,sector 92,3,Relatively New,Class B,Low Floor,North-West,4,4,2286.0,1,0,1,1.1
flat,sohna road,3+,Relatively New,Class C,Middle Floor,South,2,2,1132.0,0,0,1,0.87
flat,sector 90,3+,Relatively New,Class C,Middle Floor,North-East,4,4,2008.0,0,0,1,1.78
flat,sector 110,3,Relatively New,Class C,Low Floor,East,4,5,3083.0,1,1,1,3.4
flat,sector 66,2,Relatively New,Class C,Low Floor,South,3,3,2200.0,0,0,1,3.5
flat,sector 49,3,Relatively New,Class D,Low Floor,North-East,3,3,1869.0,0,0,1,2.45
flat,sector 71,0,Moderately Old,Class D,Middle Floor,South,2,2,1200.0,0,0,1,0.95
ind-house,sector 41,3,Old Property,Class C,Low Floor,South-West,9,8,2475.0,1,0,0,7.25
flat,sector 112,3+,Relatively New,Class A,High Floor,East,4,6,3655.35,1,0,0,5.2
flat,sector 65,3+,Relatively New,Class A,Low Floor,North-East,4,4,1975.0,1,0,0,2.9
flat,sector 37d,2,Relatively New,Class B,Low Floor,North-East,2,2,1278.0,0,0,1,1.17
flat,sector 47,2,Old Property,Class D,Low Floor,East,3,4,2544.0,0,0,0,2.45
flat,sector-33 sohna,2,Under Construction,Class C,Middle Floor,North-East,2,2,1256.0,0,0,1,1.07
ind-house,sector 105,1,Moderately Old,Class D,Low Floor,North-West,2,2,450.0,0,0,1,0.37
flat,sector 52,0,Moderately Old,Class D,Low Floor,North-West,1,1,513.0,0,0,0,0.45
flat,sector 51,1,Relatively New,Class D,Low Floor,West,2,2,1007.0,0,0,1,0.71
flat,sector 83,3,Moderately Old,Class D,Low Floor,South,3,3,1489.0,0,0,1,0.95
flat,sector 2,3+,Moderately Old,Class B,Middle Floor,North-West,3,4,1741.0,1,0,1,1.59
flat,sector 30,2,Old Property,Class C,Low Floor,North,3,2,1300.0,0,0,2,1.45
flat,sector 85,3,Relatively New,Class A,Middle Floor,East,3,4,2229.0,1,0,1,1.58
flat,sector 104,1,Relatively New,Class C,Low Floor,North-East,1,1,301.0,0,0,1,0.2
flat,sector 65,3,Relatively New,Class C,High Floor,North,3,3,3049.0,1,0,1,5.9
flat,sector 102,3,New Property,Class B,Middle Floor,South-East,3,3,1573.0,0,0,1,2.12
flat,sector 106,3,Relatively New,Class A,Middle Floor,North-East,3,3,1650.0,1,0,0,1.15
flat,sector 56,3,Relatively New,Class D,Middle Floor,West,4,4,2255.0,0,0,0,2.0
flat,sector 69,2,Relatively New,Class B,Low Floor,South,4,4,1822.0,0,0,1,1.7
flat,sector 54,3+,Moderately Old,Class B,Low Floor,North-East,3,3,2000.0,0,0,0,1.55
flat,sector 69,2,Relatively New,Class A,Middle Floor,North-East,4,4,1822.0,0,0,0,1.78
ind-house,sector 31,2,Moderately Old,Class C,Low Floor,East,4,4,1557.0,1,0,0,3.69
ind-house,sector 7,0,Old Property,Class D,Low Floor,East,4,5,330.0,0,0,1,1.35
ind-house,sector 109,3+,Relatively New,Class D,Low Floor,North-East,7,5,4500.0,1,0,1,11.25
flat,sector 107,2,Relatively New,Class D,Middle Floor,North-West,2,2,543.0,0,0,1,0.28
flat,sector 70,3,Under Construction,Class C,High Floor,North-East,3,3,1691.0,0,0,1,1.25
flat,sector 79,3,Relatively New,Class A,Middle Floor,East,3,3,1425.0,0,0,1,1.34
flat,gwal pahari,3+,Moderately Old,Class C,Low Floor,North-West,4,4,5350.0,0,0,1,5.9
ind-house,sector 25,3,Old Property,Class D,Low Floor,North,3,2,1350.0,0,0,1,4.25
flat,sector 104,3+,Relatively New,Class D,Middle Floor,North-West,3,4,2038.0,1,0,0,1.75
flat,sector 70,2,Relatively New,Class C,Middle Floor,North-West,3,3,2167.0,0,0,1,1.65
flat,sector 90,3+,Moderately Old,Class D,High Floor,North-West,4,4,2008.0,1,0,1,1.7
flat,sector 37c,3,Relatively New,Class D,Low Floor,South,3,3,1598.0,0,0,1,1.27
flat,sector 90,3+,Relatively New,Class C,Low Floor,South-East,4,4,2143.0,1,0,1,1.55
flat,sector 83,3,Relatively New,Class D,Middle Floor,North-East,4,4,2167.0,1,0,1,1.4
flat,sector 90,3,New Property,Class C,Middle Floor,East,2,2,1226.0,0,0,1,0.7
flat,sector 72,3+,Moderately Old,Class B,Middle Floor,South,4,5,3378.0,1,1,1,3.1
flat,sector 66,3,Relatively New,Class B,Middle Floor,North-East,3,4,1700.0,1,0,0,2.8
flat,sector 76,2,Under Construction,Class C,Low Floor,East,3,3,1628.0,0,0,1,1.92
flat,sector 70a,1,New Property,Class B,Middle Floor,North-East,2,2,930.0,0,0,0,0.95
ind-house,sector 12,3,Moderately Old,Class D,Low Floor,South-West,5,5,2000.0,0,0,1,1.7
flat,sector 37d,3+,Under Construction,Class B,Middle Floor,East,3,3,1564.0,0,0,1,1.1
flat,sector 65,3,Relatively New,Class D,Low Floor,South-West,3,3,1496.0,1,0,1,2.5
flat,sector 90,3+,Relatively New,Class A,High Floor,East,4,4,2214.0,0,0,1,1.65
flat,sector 102,2,Relatively New,Class B,Middle Floor,East,2,2,1102.0,0,0,1,1.24
flat,sohna road,3,New Property,Class C,Low Floor,East,2,2,828.0,0,0,1,0.55
ind-house,laxman vihar phase 2,2,Moderately Old,Class D,Low Floor,North-East,4,3,211.0,0,1,0,1.9
flat,sector 86,3,Relatively New,Class D,Low Floor,South-West,3,4,1342.0,0,0,1,1.25
flat,sector 70,3,Relatively New,Class B,Middle Floor,North,2,2,1224.0,0,0,1,1.07
flat,sector 36a,3,New Property,Class D,High Floor,North-East,3,4,2820.0,0,0,2,4.1
flat,sector-33 sohna,3,Under Construction,Class C,Low Floor,South,3,3,2667.0,1,1,1,3.3
ind-house,sector 41,3+,Moderately Old,Class A,Low Floor,South-West,7,7,2475.0,1,1,2,7.0
flat,sector 71,2,Moderately Old,Class B,Low Floor,South-East,3,3,1958.0,0,0,0,1.4
flat,sector 95,2,New Property,Class C,Middle Floor,East,2,2,717.0,0,0,1,0.36
flat,sector 83,3,Relatively New,Class A,Middle Floor,East,3,3,1600.0,1,0,0,1.75
ind-house,sector 11,1,Moderately Old,Class D,Low Floor,North-East,5,4,2025.0,0,0,1,4.0
flat,sector 89 a,3+,Under Construction,Class C,Middle Floor,North,3,3,1944.0,0,0,1,1.7
flat,sector 2,2,Moderately Old,Class C,Middle Floor,South-West,1,1,722.0,0,0,1,0.56
flat,sector 85,3,New Property,Class B,High Floor,East,2,2,1550.0,0,0,1,1.04
flat,sector 102,3+,Relatively New,Class D,Middle Floor,North-East,3,3,2099.0,0,1,1,1.9
flat,sector 102,3,Relatively New,Class D,Middle Floor,East,3,3,1300.0,1,0,1,1.4
flat,sector 102,3,Relatively New,Class D,Middle Floor,South-West,3,3,1690.0,0,0,0,2.15
flat,sector 68,2,New Property,Class D,Middle Floor,East,2,2,1180.0,0,0,1,0.84
flat,sector 90,3+,Moderately Old,Class D,High Floor,East,4,4,2472.0,1,0,1,2.0
ind-house,sector 48,3,Moderately Old,Class A,Low Floor,West,4,4,2700.0,1,1,0,6.4
flat,sector 85,2,Relatively New,Class C,Middle Floor,West,2,2,1822.0,1,0,1,1.31
ind-house,sector 49,3,New Property,Class D,Low Floor,East,4,4,60.0,0,0,0,1.6
flat,sector 2,2,Moderately Old,Class C,Middle Floor,North-East,1,2,723.0,0,0,1,0.56
flat,sector 37d,3,Relatively New,Class D,High Floor,North-West,3,3,1708.0,0,0,1,1.49
ind-house,sector 2,1,Relatively New,Class D,Low Floor,North-East,4,4,3000.0,0,0,1,6.0
flat,sector 84,1,Relatively New,Class D,Middle Floor,South-West,2,2,1151.0,0,0,1,1.2
flat,sector 90,3,Relatively New,Class D,Middle Floor,South,3,3,1650.0,0,0,0,1.25
flat,sector 99,2,New Property,Class C,Low Floor,North,2,2,1238.0,0,0,0,1.15
flat,sector-33 sohna,0,Under Construction,Class C,Middle Floor,South,2,2,85.0,0,0,1,1.2
ind-house,sector 3,0,Moderately Old,Class D,Low Floor,East,7,2,1980.0,0,0,1,1.5
ind-house,sector 49,3,Relatively New,Class D,Low Floor,West,4,4,2088.0,1,0,0,6.75
ind-house,sector 103,0,Relatively New,Class C,Middle Floor,East,4,5,4700.0,0,0,1,3.15
ind-house,sector 26,3+,Moderately Old,Class B,Low Floor,East,6,8,4500.0,1,1,0,19.0
flat,sector 90,3,Relatively New,Class B,Low Floor,South-East,3,4,1680.0,1,1,1,0.85
flat,sector 61,1,Under Construction,Class D,Low Floor,West,2,2,1043.0,0,0,1,1.55
flat,sector 36,1,Relatively New,Class D,Low Floor,North-East,2,2,590.0,0,0,1,0.42
flat,sector 37c,3+,New Property,Class D,Middle Floor,North-East,2,3,1431.0,0,0,1,0.87
flat,mehrauli  road,3+,Relatively New,Class D,Low Floor,North-West,3,4,1956.0,0,0,1,2.2
flat,sector 54,3,Relatively New,Class A,Middle Floor,North-East,3,4,2329.0,1,0,2,5.75
flat,sector 103,3,Relatively New,Class D,Middle Floor,East,4,4,2607.0,1,1,1,2.45
flat,sector 49,1,Relatively New,Class D,Low Floor,South-West,1,1,500.0,0,0,1,0.87
flat,sector 70,3,Relatively New,Class D,Middle Floor,South-East,3,3,1529.0,1,0,1,1.55
ind-house,sector 70a,1,New Property,Class D,Low Floor,North-East,3,2,667.0,0,0,1,2.1
flat,sector 102,3,Relatively New,Class B,Middle Floor,North-East,3,3,1316.0,1,0,0,1.38
flat,sector 103,3,Relatively New,Class D,Middle Floor,East,4,6,2607.0,1,0,1,2.45
flat,sector 106,3+,Relatively New,Class D,Low Floor,South-East,2,2,1120.0,0,0,1,0.88
flat,sector 90,3+,Moderately Old,Class C,High Floor,North,4,4,2472.0,0,0,1,1.8
flat,sector 84,2,Relatively New,Class D,Low Floor,East,2,2,537.0,0,0,1,0.35
flat,sector 82a,0,Relatively New,Class D,Middle Floor,South-East,1,1,650.0,0,0,1,0.62
flat,sector 79,3+,Relatively New,Class A,Middle Floor,East,3,4,2051.0,1,0,1,1.93
flat,sohna road,1,Relatively New,Class D,Low Floor,South-East,2,2,509.0,0,0,0,0.27
flat,sector 85,3,Relatively New,Class C,High Floor,South,2,2,1487.0,0,0,1,1.07
flat,sohna road,2,New Property,Class C,Middle Floor,East,2,2,640.0,0,0,1,0.26
ind-house,sector 81,3,Relatively New,Class C,Low Floor,North,4,4,5480.0,1,1,1,4.35
flat,sector 70a,2,Relatively New,Class D,Middle Floor,South-East,2,2,843.0,0,0,0,0.85
flat,sector 107,2,New Property,Class D,Middle Floor,East,2,2,615.0,0,0,1,0.37
flat,sector 69,1,Relatively New,Class C,Middle Floor,North-West,3,3,1394.0,0,0,1,1.36
flat,sector 85,3+,New Property,Class B,Middle Floor,South-West,3,4,2183.0,0,1,1,1.77
flat,sector 92,3,Relatively New,Class B,Low Floor,North-West,3,3,1473.0,0,0,1,0.71
ind-house,sector 66,3+,New Property,Class D,Low Floor,North-East,5,6,3150.0,1,0,1,12.0
flat,sector 104,3+,Relatively New,Class C,Middle Floor,East,3,4,2000.0,1,0,0,1.05
flat,sector 106,3+,Relatively New,Class A,Middle Floor,East,3,4,1186.0,1,0,0,1.15
flat,sector 88a,3+,New Property,Class B,Middle Floor,North-East,3,3,1582.0,0,0,1,2.65
ind-house,sector 24,3,Under Construction,Class A,Low Floor,East,4,4,2844.0,1,1,0,3.51
flat,sector 92,2,Relatively New,Class D,High Floor,East,3,2,1556.0,0,0,1,0.75
ind-house,sector 12,3,Relatively New,Class D,Low Floor,North,3,3,900.0,0,0,1,0.38
flat,sector 65,3,Under Construction,Class C,High Floor,East,3,3,1828.0,0,0,1,3.0
flat,sector 85,3,Relatively New,Class D,Middle Floor,North,4,4,2300.0,1,0,1,2.14
flat,sector 113,3,New Property,Class A,Middle Floor,North-East,2,2,1090.0,0,0,1,1.35
flat,sector 89,3+,New Property,Class D,Low Floor,East,2,2,1103.0,0,0,1,0.97
flat,sector 92,3+,Relatively New,Class B,Middle Floor,North,3,3,713.0,0,0,1,0.39
flat,sector 88a,3+,Relatively New,Class C,Middle Floor,North,3,3,2296.0,1,0,1,1.38
flat,sector 85,3,Relatively New,Class A,Middle Floor,North-East,2,2,1700.0,0,0,0,1.18
flat,sector 37c,3+,Relatively New,Class D,Middle Floor,East,3,3,1708.0,0,0,0,1.0
flat,sector 106,3+,Relatively New,Class D,Low Floor,North,2,2,940.0,0,0,1,0.95
flat,sector 85,3,Relatively New,Class A,Middle Floor,South-East,3,4,2028.0,0,0,1,1.84
flat,sector 82a,3+,Relatively New,Class D,Middle Floor,North-East,5,5,2896.0,0,0,2,3.5
ind-house,sector 50,3,Old Property,Class C,Low Floor,South,4,4,4500.0,1,0,0,7.45
flat,sector 90,3+,Relatively New,Class C,Middle Floor,North-West,4,4,2472.0,1,0,1,1.9
flat,sector 113,3,New Property,Class A,Low Floor,North-East,2,2,1276.0,0,0,1,1.55
flat,sector 106,3+,New Property,Class D,Low Floor,North-East,2,2,940.0,0,0,0,1.0
flat,sector 89,2,Under Construction,Class C,Low Floor,South-East,3,3,1581.0,0,0,1,1.16
flat,sector 95,1,Relatively New,Class D,Middle Floor,East,2,2,564.0,0,0,2,0.32
ind-house,sohna road,0,Moderately Old,Class D,Low Floor,East,3,3,9000.0,0,0,1,6.25
flat,sector 92,3,Relatively New,Class D,Middle Floor,North-West,4,4,2093.0,0,0,1,1.0
flat,sector 69,1,Relatively New,Class C,Middle Floor,North-East,3,3,1422.0,0,0,0,1.29
flat,sector 107,2,Relatively New,Class D,Middle Floor,North,2,2,543.0,0,0,1,0.28
ind-house,sector 109,3,Relatively New,Class D,Low Floor,North-West,4,5,5400.0,1,0,1,6.8
flat,sector 72,3+,Relatively New,Class D,High Floor,East,4,4,2511.0,1,0,1,3.9
ind-house,sector 109,3+,Relatively New,Class A,Low Floor,South-West,5,5,6228.0,1,1,1,6.0
flat,sector 54,3+,Old Property,Class C,Middle Floor,North,3,3,1995.0,1,0,0,1.69
ind-house,sector 9,3,Moderately Old,Class C,Low Floor,West,9,9,2628.0,0,0,0,3.4
flat,sector 106,3+,Relatively New,Class A,Middle Floor,North-East,3,4,1345.0,1,0,1,1.05
ind-house,sector 25,3+,Relatively New,Class D,Low Floor,East,5,5,3096.0,1,1,1,11.0
flat,sector 88a,3,New Property,Class C,Middle Floor,East,3,3,1655.0,0,0,1,1.65
ind-house,sector 25,3+,Moderately Old,Class C,Low Floor,West,4,3,1350.0,0,1,1,4.45
ind-house,sector 54,3,Moderately Old,Class D,Low Floor,East,4,4,1440.0,1,0,0,3.75
ind-house,sector 7,0,Old Property,Class D,Low Floor,North-East,7,7,2610.0,0,0,1,3.0
flat,sector 85,3,Relatively New,Class D,Low Floor,North-West,4,4,2600.0,0,0,1,2.1
ind-house,sector 109,3+,Relatively New,Class B,Low Floor,West,5,5,2250.0,1,1,0,6.15
flat,sector 65,3+,Relatively New,Class C,Low Floor,South-East,4,4,1975.0,1,0,1,3.0
flat,sector 50,2,Moderately Old,Class C,Low Floor,North,2,2,1098.0,0,0,1,1.05
flat,sector 90,3+,Relatively New,Class C,Middle Floor,North,3,3,1568.0,0,0,1,1.13
ind-house,sector 4,2,Old Property,Class D,Low Floor,South-East,3,3,2250.0,0,0,1,3.25
flat,mehrauli  road,3+,Old Property,Class B,Middle Floor,East,4,5,2200.0,1,0,2,2.75
flat,sector 48,3+,Moderately Old,Class C,Middle Floor,North-East,4,4,3831.0,1,1,0,9.3
flat,sector 108,3,Relatively New,Class D,Middle Floor,South-East,2,3,978.223232,1,1,1,0.98
flat,sector 81,3+,Relatively New,Class D,Middle Floor,South-West,4,4,3850.0,1,0,0,4.45
flat,sector 50,3,Moderately Old,Class A,Middle Floor,North,3,3,2600.0,1,0,0,2.92
flat,sohna road,3+,Relatively New,Class A,Middle Floor,East,2,2,1132.0,0,0,1,0.72
flat,sector 43,3,Old Property,Class C,Low Floor,South,3,3,1320.0,0,0,0,1.35
flat,sector 37c,3,Moderately Old,Class B,Low Floor,North,2,2,1068.1,0,0,0,0.78
ind-house,sector 50,2,Old Property,Class B,Low Floor,North-East,3,3,3231.0,1,0,0,8.45
ind-house,sector 56,3+,Relatively New,Class D,Low Floor,North-East,8,8,3240.0,1,0,2,7.5
flat,sector 79,3,Relatively New,Class B,High Floor,South,3,3,1266.0,0,0,0,1.28
flat,sector 81,3+,Relatively New,Class D,Middle Floor,East,3,3,1570.0,1,0,2,2.2
ind-house,sector 14,0,Moderately Old,Class D,Low Floor,South,5,5,2500.0,0,0,1,6.5
flat,sector 89,3,New Property,Class C,Low Floor,East,3,3,1290.0,0,0,1,1.25
flat,sector 65,3,Relatively New,Class A,Low Floor,East,3,3,3245.0,1,0,0,5.0
flat,dwarka expressway,0,Under Construction,Class D,Low Floor,South,3,3,1758.0,0,0,1,1.08
ind-house,sector 50,3,Moderately Old,Class B,Low Floor,East,5,4,2160.0,0,1,0,7.1
ind-house,sector 28,3,Old Property,Class D,Low Floor,North,4,3,1800.0,0,0,0,5.5
ind-house,sector 38,3+,Relatively New,Class D,Low Floor,East,3,9,1494.0,0,0,0,4.3
flat,sector 37c,3+,Relatively New,Class D,Middle Floor,North-West,3,5,1400.0,1,0,1,0.99
flat,sector 70,3+,Moderately Old,Class C,Middle Floor,East,4,4,2667.0,1,0,0,2.35
ind-house,sector 23,2,Old Property,Class D,Low Floor,East,5,5,1450.0,0,0,0,2.7
flat,sector 63a,3,New Property,Class C,Low Floor,West,3,3,1202.0,1,0,1,3.23
flat,sector 37d,3,Relatively New,Class B,Middle Floor,South-East,3,3,1711.0,0,0,1,1.45
flat,sohna road,3,Relatively New,Class A,Middle Floor,West,2,2,1404.0,0,0,1,0.72
flat,sector 37d,2,Relatively New,Class B,High Floor,East,3,3,1702.0,0,0,1,1.65
flat,sector 107,3+,Relatively New,Class B,Middle Floor,North-East,3,4,2141.0,1,0,1,1.4
flat,sector 65,3+,Relatively New,Class A,Low Floor,West,3,4,1833.0,1,0,2,2.29
flat,sector 85,3,New Property,Class D,Middle Floor,South-East,3,4,2183.0,0,0,1,1.65
ind-house,sector 11,2,Old Property,Class D,Low Floor,South,4,3,1800.0,0,0,1,2.2
ind-house,sector 57,3+,Moderately Old,Class C,Low Floor,North-East,5,4,1548.0,0,1,0,3.15
ind-house,palam vihar extension,1,Relatively New,Class D,Low Floor,South,2,2,583.0,0,0,1,0.4
ind-house,sector 25,1,Relatively New,Class B,Low Floor,North-East,6,6,2844.0,0,1,0,10.85
flat,sector-33 sohna,3+,Under Construction,Class D,Middle Floor,North-East,3,2,1487.0,0,0,1,1.35
ind-house,sector 26,3,Moderately Old,Class D,Low Floor,South-East,4,4,4500.0,1,1,0,15.0
ind-house,sector 14,2,Moderately Old,Class D,Low Floor,East,5,5,3420.0,1,0,0,6.46
flat,sector 109,3,Relatively New,Class B,Middle Floor,North-East,3,3,1582.0,0,0,1,1.68
flat,sector 92,2,Relatively New,Class D,Low Floor,North,3,3,1070.0,0,0,1,0.5
flat,sector 61,1,Under Construction,Class C,Low Floor,East,3,3,1549.0,0,0,1,2.5
ind-house,sector 109,2,Relatively New,Class B,Low Floor,South-West,5,5,2430.0,1,0,1,6.2
ind-house,sector 26,3,Old Property,Class D,Low Floor,North-East,5,6,4500.0,0,0,1,16.0
flat,sector 79,3+,New Property,Class D,Middle Floor,North,3,4,1949.0,1,0,1,1.85
flat,sector 102,3,Relatively New,Class D,Middle Floor,South-East,3,3,1679.0,0,0,1,2.0
flat,sector 83,2,Relatively New,Class D,Middle Floor,North,3,3,1620.0,0,0,1,1.18
flat,sector 89,2,New Property,Class D,Low Floor,East,3,3,1581.0,0,0,1,1.42
flat,sector 103,3+,Relatively New,Class A,Low Floor,North-East,3,3,1623.0,0,0,0,1.35
flat,sector 28,2,Moderately Old,Class D,Middle Floor,South-East,3,3,2983.0,1,0,1,6.0
